objectid;facilityid;legacyid;location;depthus;depthds;height;invertus;invertds;diameter;width;modifydate;material;form;pslope;adminarea;shape_len;operationalarea;owner
10125;16547-PP1;411B.554-PP1;HOBSON RD & SLATER RD;4;5.69999;1.25;397.35;393.44;15;;2009-10-29 09:47:52+00:00;CONCRETE;CIRCULAR;5.028;City;77.76070537;Stirrup Iron Creek;DOT-ROW
10446;10154-PP1;32X.4048-PP1;DUKE EAST CAMPUS;4.9;6.3;1.25;405.91;402.48999;15;;2002-02-11 14:26:10+00:00;CONCRETE;CIRCULAR;3.813;City;89.69845707;Ellerbe Creek;PRIVATE
10447;10155-PP1;32X.4049-PP1;DUKE EAST CAMPUS;8.5;2.5;1.25;400.29;393.25;15;;2002-02-11 14:26:10+00:00;CONCRETE;CIRCULAR;16.988;City;41.4327805;Ellerbe Creek;PRIVATE
10452;10165-PP1;32X.4060-PP1;DUKE EAST CAMPUS;3.09999;4.69999;1.25;390.75;389.80999;15;;2002-02-11 14:26:07+00:00;PVC;CIRCULAR;0.726;City;129.3579136;Ellerbe Creek;PRIVATE
10578;11962-PP1;34X.5411-PP1;430 GOODWIN RD;2.4;1.39999;1.25;435.30999;433.23999;15;;2002-05-14 10:53:50+00:00;HDPE-CORRUGATED;CIRCULAR;2.032;City;101.866896;Little River;PRIVATE
10588;11976-PP1;34X.5425-PP1;MILTON RD AT CARRINGTON M.S.;5.4;1.5;1.25;438.69;429.08999;15;;2012-03-05 17:22:36+00:00;CONCRETE;CIRCULAR;3.448;City;278.4587311;Eno River;COUNTY
8060;14173-PP1;38X.3236-PP1;SOUTHPOINT MALL;4.59999;5.09999;1.25;293.35998;293.32;15;;2002-11-27 08:49:41+00:00;METAL-CORRUGATED;CIRCULAR;0.215;City;18.58473836;New Hope Creek;PRIVATE
8244;16629-PP1;411B.641-PP1;4505 EMPEROR BD;3.7;4.4;1.25;380.04998;379.89999;18;;2009-10-29 09:47:52+00:00;CONCRETE;CIRCULAR;0.467;City;32.10104827;Stirrup Iron Creek;PRIVATE
9464;21570-PP1;46X.5041-PP1;DUTCHESS LN @ STOCKTON WAY;4.3;3.59999;1.25;315.42001;308.29998;15;;2002-10-09 12:32:33+00:00;CONCRETE;CIRCULAR;3.607;City;197.3246503;New Hope Creek;CITY-ROW
9650;10000-PP1;31X.5630-PP1;GUESS RD @ HORTON RD;4.5;3.2;1.25;337.5;336.54998;15;;2002-03-11 11:28:30+00:00;CONCRETE;CIRCULAR;1.107;City;85.83996389;Eno River;PRIVATE
9728;16600-PP1;411B.612-PP1;4500 EMPEROR BD;5.69999;6.9;1.25;352.97;351.67999;15;;2001-11-20 15:00:15+00:00;CONCRETE;CIRCULAR;3.706;City;34.79684181;Stirrup Iron Creek;PRIVATE
9731;16603-PP1;411B.615-PP1;SHERATON -EMPEROR BD;4.69999;4.8;1.25;383.23999;379.23001;18;;2009-10-29 09:47:52+00:00;CONCRETE;CIRCULAR;5.088;City;78.79289435;Stirrup Iron Creek;PRIVATE
9116;11941-PP1;34X.5390-PP1;4321 MEDICAL PARK DR;4.8;4.5;1.25;353.88;353.85998;15;;2002-04-09 11:54:22+00:00;CONCRETE;CIRCULAR;0.023;City;85.9236603;Eno River;PRIVATE
9178;21571-PP1;46X.5042-PP1;DUTCHESS LN @ CHURCHLAND CT;5.5;3.79999;1.25;316.76998;316.5;15;;2002-10-09 12:32:27+00:00;CONCRETE;CIRCULAR;0.439;City;61.37051409;New Hope Creek;CITY-ROW
9223;10161-PP1;32X.4055-PP1;DUKE EAST CAMPUS;3.7;3.9;1.25;390.29;388.51998;15;;2002-02-11 14:26:08+00:00;PVC;CIRCULAR;0.855;City;207.1190054;Ellerbe Creek;PRIVATE
9224;10162-PP1;32X.4056-PP1;DUKE EAST CAMPUS;4.3;9.89999;1.25;388.11999;383.42999;15;;2002-02-11 14:26:08+00:00;PVC;CIRCULAR;1.672;City;280.3345519;Ellerbe Creek;PRIVATE
9271;12043-PP1;34X.5492-PP1;508 WILDWOOD DR;1.5;1.5;1.25;353.67001;352.07998;15;;2012-01-20 16:47:38+00:00;CONCRETE;CIRCULAR;3.596;City;44.20069343;Eno River;CITY-ROW
9287;12068-PP1;34X.5518-PP1;1315 OLD OXFORD HWY;2.2;2.9;1.25;355.14999;355.04998;15;;2002-06-03 17:44:27+00:00;CONCRETE;CIRCULAR;0.255;City;39.22207797;Eno River;PRIVATE
9394;12004-PP1;34X.5453-PP1;GUESS RD & UMSTEAD RD;;5.19999;1.25;;434.07998;15;;2010-01-25 08:09:03+00:00;CONCRETE;CIRCULAR;;City;40.12806125;Eno River;DOT-ROW
9406;09456-PP1;311C.168-PP1;4025 STIRRUP CREEK RD;8.8;10.19999;1.25;362.20999;359.04;15;;2001-11-20 15:17:20+00:00;CONCRETE;CIRCULAR;2.424;City;130.799901;Stirrup Iron Creek;PRIVATE
9876;14139-PP1;38X.3202-PP1;SOUTHPOINT MALL;3.59999;5.9;1.25;298.63;298.25;15;;2002-10-11 12:44:17+00:00;METAL-CORRUGATED;CIRCULAR;0.64;City;59.30883577;New Hope Creek;PRIVATE
